Elapsed Time,Ch1,Sensor 1,Ch3,Ch4,BioRadio Event,
00:00:16.96,0.00693453336134553,0.0110578825697303,-0.0110577465966344,0,0,
00:00:16.964,-0.00800239574164152,-0.00357108865864575,0.00356971262954175,0,0,
00:00:16.968,-0.011835508979857,-0.00573304016143084,0.00573137076571584,0,0,
00:00:16.972,0.00371115794405341,0.0122093455865979,-0.0122104687616229,0,0,
00:00:16.976,0.00769539084285498,-0.0122730592265725,0.0122727369889617,0,0,
00:00:16.98,0.000721227435860783,0.00855503231287003,-0.00855474639683962,0,0,
00:00:16.984,-0.0144609762355685,-0.00353383808396757,0.00353435589931905,0,0,
00:00:16.988,0.00987061578780413,-0.00306920101866126,0.00306963245384395,0,0,
00:00:16.992,0.0131914438679814,0.00230422173626721,-0.00230402615852654,0,0,
00:00:16.996,-0.00256808986887336,0.0106327785179019,-0.010632804594934,0,0,
00:00:17,-0.0116257602348924,-0.0196881406009197,0.0196879953145981,0,0,
00:00:17.004,-0.00798675417900085,0.00664386060088873,-0.00664401240646839,0,0,
00:00:17.008,0.00130569760221988,0.0101437391713262,-0.0101438295096159,0,0,
00:00:17.012,0.0127777419984341,4.00150929635856E-05,-4.00311546400189E-05,0,0,
00:00:17.016,0.0107476599514484,-0.00458231661468744,0.0045823510736227,0,0,
00:00:17.02,-0.00982397794723511,-0.0127769950777292,0.0127770444378257,0,0,
00:00:17.024,-0.00518303317949176,0.00587224727496505,-0.00587221095338464,0,0,
00:00:17.028,-0.0086299991235137,0.0091369329020381,-0.00913691893219948,0,0,
00:00:17.032,0.00352425500750542,-0.0139478845521808,0.0139478789642453,0,0,
00:00:17.036,0.00582143245264888,0.018999956548214,-0.0189999714493752,0,0,
00:00:17.04,0.00766683928668499,-0.00997114926576614,0.00997113529592752,0,0,
00:00:17.044,-0.00565365329384804,0.00926861818879843,-0.00926862563937902,0,0,
00:00:17.048,0.00537439482286572,-0.0102956742048264,0.0102956742048264,0,0,
00:00:17.052,-0.0169374067336321,-0.000721231452189386,0.000721235293895006,0,0,
00:00:17.056,-0.00228326371870935,-0.000934934592805803,0.000934939191211015,0,0,
00:00:17.06,0.0169372074306011,0.00466745253652334,-0.00466744927689433,0,0,
00:00:17.064,0.00418136594817042,-0.0128352036699653,0.0149109847843647,0,0,
00:00:17.068,-0.011806907132268,0.0163699276745319,-0.0204210318624973,0,0,
00:00:17.072,-0.00380291813053191,-0.00547807151451707,0.0058113494887948,0,0,
00:00:17.076,0.0170730594545603,0.00609329482540488,-0.00462829181924462,0,0,
